clothID;brief;describe;action;beauty;boyablity;leadership;popularity;actionRate;beautyRate;boyablityRate;leadershipRate;popularityRate;money;honor;level
1;;全属性+2;2;2;2;2;2;1;1;1;1;1;0;0;0
2;;演技+2\n颜值+5\n男友力+4\n领导力+2\n人气+3;2;5;4;2;3;1;1;1;1;1;2000;0;0
3;;全属性+8;8;8;8;8;8;1;1;1;1;1;6000;200;10
4;;演技+4\n颜值+40%\n男友力+2\n领导力+2\n人气+2;4;0;2;2;2;1;1.4;1;1;1;8000;200;10
5;;全属性+20%;0;0;0;0;0;1.2;1.2;1.2;1.2;1.2;40000;1200;25
6;;演技+16\n颜值+40%\n男友力+22\n领导力+20\n人气+22;16;0;22;20;22;1;1.4;1;1;1;30000;1200;25
7;;演技+30%\n颜值+40%\n男友力+30%\n领导力+20%\n人气+30%;0;0;0;0;0;1.3;1.4;1.3;1.2;1.3;45000;1200;25
8;;全属性+40%;0;0;0;0;0;1.4;1.4;1.4;1.4;1.4;90000;2000;35
9;;全属性+28;28;28;28;28;28;1;1;1;1;1;120000;4000;35
10;XX时候的衣服,参与游戏制作的工作人员才有哦;(全属性+4)+30%;4;4;4;4;4;1.3;1.3;1.3;1.3;1.3;-1;0;0
